PING 192.168.250.120 (192.168.250.120) 56(84) bytes of data.
64 bytes from 192.168.250.120: icmp_seq=1 ttl=64 time=0.992 ms
64 bytes from 192.168.250.120: icmp_seq=2 ttl=64 time=9.73 ms
64 bytes from 192.168.250.120: icmp_seq=3 ttl=64 time=8.68 ms
64 bytes from 192.168.250.120: icmp_seq=4 ttl=64 time=6.61 ms
64 bytes from 192.168.250.120: icmp_seq=5 ttl=64 time=4.14 ms
64 bytes from 192.168.250.120: icmp_seq=6 ttl=64 time=10.8 ms
64 bytes from 192.168.250.120: icmp_seq=7 ttl=64 time=9.79 ms
64 bytes from 192.168.250.120: icmp_seq=8 ttl=64 time=16.4 ms
64 bytes from 192.168.250.120: icmp_seq=9 ttl=64 time=13.0 ms
64 bytes from 192.168.250.120: icmp_seq=10 ttl=64 time=8.28 ms
64 bytes from 192.168.250.120: icmp_seq=11 ttl=64 time=4.14 ms
64 bytes from 192.168.250.120: icmp_seq=12 ttl=64 time=3.93 ms
64 bytes from 192.168.250.120: icmp_seq=13 ttl=64 time=4.72 ms
64 bytes from 192.168.250.120: icmp_seq=14 ttl=64 time=12.9 ms
64 bytes from 192.168.250.120: icmp_seq=15 ttl=64 time=453 ms
64 bytes from 192.168.250.120: icmp_seq=16 ttl=64 time=515 ms
64 bytes from 192.168.250.120: icmp_seq=17 ttl=64 time=8.39 ms
64 bytes from 192.168.250.120: icmp_seq=18 ttl=64 time=206 ms
64 bytes from 192.168.250.120: icmp_seq=19 ttl=64 time=233 ms
64 bytes from 192.168.250.120: icmp_seq=20 ttl=64 time=815 ms
64 bytes from 192.168.250.120: icmp_seq=21 ttl=64 time=2.56 ms
64 bytes from 192.168.250.120: icmp_seq=22 ttl=64 time=3.59 ms
64 bytes from 192.168.250.120: icmp_seq=23 ttl=64 time=2.88 ms
64 bytes from 192.168.250.120: icmp_seq=24 ttl=64 time=3.01 ms
64 bytes from 192.168.250.120: icmp_seq=25 ttl=64 time=6.25 ms
64 bytes from 192.168.250.120: icmp_seq=26 ttl=64 time=2576 ms
64 bytes from 192.168.250.120: icmp_seq=27 ttl=64 time=1544 ms
64 bytes from 192.168.250.120: icmp_seq=28 ttl=64 time=520 ms
64 bytes from 192.168.250.120: icmp_seq=29 ttl=64 time=5.58 ms
64 bytes from 192.168.250.120: icmp_seq=30 ttl=64 time=3.77 ms
64 bytes from 192.168.250.120: icmp_seq=31 ttl=64 time=5.99 ms
64 bytes from 192.168.250.120: icmp_seq=32 ttl=64 time=9.76 ms
64 bytes from 192.168.250.120: icmp_seq=33 ttl=64 time=4.93 ms
64 bytes from 192.168.250.120: icmp_seq=34 ttl=64 time=9.41 ms
64 bytes from 192.168.250.120: icmp_seq=35 ttl=64 time=1.05 ms
64 bytes from 192.168.250.120: icmp_seq=36 ttl=64 time=365 ms
64 bytes from 192.168.250.120: icmp_seq=37 ttl=64 time=5.06 ms
64 bytes from 192.168.250.120: icmp_seq=38 ttl=64 time=3.33 ms
64 bytes from 192.168.250.120: icmp_seq=39 ttl=64 time=50.7 ms
64 bytes from 192.168.250.120: icmp_seq=40 ttl=64 time=541 ms
64 bytes from 192.168.250.120: icmp_seq=41 ttl=64 time=2829 ms
64 bytes from 192.168.250.120: icmp_seq=42 ttl=64 time=1798 ms
64 bytes from 192.168.250.120: icmp_seq=43 ttl=64 time=774 ms
64 bytes from 192.168.250.120: icmp_seq=44 ttl=64 time=2.38 ms
64 bytes from 192.168.250.120: icmp_seq=45 ttl=64 time=77.3 ms
64 bytes from 192.168.250.120: icmp_seq=46 ttl=64 time=1.91 ms
64 bytes from 192.168.250.120: icmp_seq=47 ttl=64 time=326 ms
64 bytes from 192.168.250.120: icmp_seq=48 ttl=64 time=69.6 ms
64 bytes from 192.168.250.120: icmp_seq=49 ttl=64 time=9.01 ms
64 bytes from 192.168.250.120: icmp_seq=50 ttl=64 time=9.27 ms
64 bytes from 192.168.250.120: icmp_seq=51 ttl=64 time=12.1 ms
64 bytes from 192.168.250.120: icmp_seq=52 ttl=64 time=7.07 ms
64 bytes from 192.168.250.120: icmp_seq=53 ttl=64 time=284 ms
64 bytes from 192.168.250.120: icmp_seq=54 ttl=64 time=529 ms
64 bytes from 192.168.250.120: icmp_seq=55 ttl=64 time=1121 ms
64 bytes from 192.168.250.120: icmp_seq=56 ttl=64 time=111 ms
64 bytes from 192.168.250.120: icmp_seq=57 ttl=64 time=4.01 ms
64 bytes from 192.168.250.120: icmp_seq=58 ttl=64 time=1.85 ms
64 bytes from 192.168.250.120: icmp_seq=59 ttl=64 time=2.84 ms
64 bytes from 192.168.250.120: icmp_seq=60 ttl=64 time=4.57 ms
64 bytes from 192.168.250.120: icmp_seq=61 ttl=64 time=7.61 ms
64 bytes from 192.168.250.120: icmp_seq=62 ttl=64 time=7.63 ms
64 bytes from 192.168.250.120: icmp_seq=63 ttl=64 time=10.1 ms
64 bytes from 192.168.250.120: icmp_seq=64 ttl=64 time=6.23 ms
64 bytes from 192.168.250.120: icmp_seq=65 ttl=64 time=7.30 ms
64 bytes from 192.168.250.120: icmp_seq=66 ttl=64 time=2260 ms
64 bytes from 192.168.250.120: icmp_seq=67 ttl=64 time=1251 ms
64 bytes from 192.168.250.120: icmp_seq=68 ttl=64 time=227 ms
64 bytes from 192.168.250.120: icmp_seq=69 ttl=64 time=7.31 ms
64 bytes from 192.168.250.120: icmp_seq=70 ttl=64 time=3.75 ms
64 bytes from 192.168.250.120: icmp_seq=71 ttl=64 time=2.11 ms
64 bytes from 192.168.250.120: icmp_seq=72 ttl=64 time=3.79 ms
64 bytes from 192.168.250.120: icmp_seq=73 ttl=64 time=6.78 ms
64 bytes from 192.168.250.120: icmp_seq=74 ttl=64 time=296 ms
64 bytes from 192.168.250.120: icmp_seq=75 ttl=64 time=3.98 ms
64 bytes from 192.168.250.120: icmp_seq=76 ttl=64 time=1.43 ms
64 bytes from 192.168.250.120: icmp_seq=77 ttl=64 time=4.87 ms
64 bytes from 192.168.250.120: icmp_seq=78 ttl=64 time=5.51 ms
64 bytes from 192.168.250.120: icmp_seq=79 ttl=64 time=4.98 ms
64 bytes from 192.168.250.120: icmp_seq=80 ttl=64 time=4.42 ms
64 bytes from 192.168.250.120: icmp_seq=81 ttl=64 time=5.52 ms
64 bytes from 192.168.250.120: icmp_seq=82 ttl=64 time=436 ms
64 bytes from 192.168.250.120: icmp_seq=83 ttl=64 time=5.93 ms
64 bytes from 192.168.250.120: icmp_seq=84 ttl=64 time=3.07 ms
64 bytes from 192.168.250.120: icmp_seq=85 ttl=64 time=2.37 ms
64 bytes from 192.168.250.120: icmp_seq=86 ttl=64 time=2.55 ms
64 bytes from 192.168.250.120: icmp_seq=87 ttl=64 time=634 ms
64 bytes from 192.168.250.120: icmp_seq=88 ttl=64 time=16.4 ms
64 bytes from 192.168.250.120: icmp_seq=89 ttl=64 time=1.54 ms
64 bytes from 192.168.250.120: icmp_seq=90 ttl=64 time=10.0 ms
64 bytes from 192.168.250.120: icmp_seq=91 ttl=64 time=6.88 ms
64 bytes from 192.168.250.120: icmp_seq=92 ttl=64 time=13.9 ms
64 bytes from 192.168.250.120: icmp_seq=93 ttl=64 time=33.8 ms
64 bytes from 192.168.250.120: icmp_seq=94 ttl=64 time=6.32 ms
64 bytes from 192.168.250.120: icmp_seq=95 ttl=64 time=16.2 ms
64 bytes from 192.168.250.120: icmp_seq=96 ttl=64 time=6.84 ms
64 bytes from 192.168.250.120: icmp_seq=97 ttl=64 time=567 ms
64 bytes from 192.168.250.120: icmp_seq=98 ttl=64 time=5.64 ms
64 bytes from 192.168.250.120: icmp_seq=99 ttl=64 time=8.44 ms
64 bytes from 192.168.250.120: icmp_seq=100 ttl=64 time=11.2 ms
64 bytes from 192.168.250.120: icmp_seq=101 ttl=64 time=18.9 ms
64 bytes from 192.168.250.120: icmp_seq=102 ttl=64 time=11.0 ms
64 bytes from 192.168.250.120: icmp_seq=103 ttl=64 time=14.2 ms
64 bytes from 192.168.250.120: icmp_seq=104 ttl=64 time=7.58 ms
64 bytes from 192.168.250.120: icmp_seq=105 ttl=64 time=21.3 ms
64 bytes from 192.168.250.120: icmp_seq=106 ttl=64 time=381 ms
64 bytes from 192.168.250.120: icmp_seq=107 ttl=64 time=2.60 ms
64 bytes from 192.168.250.120: icmp_seq=108 ttl=64 time=888 ms
64 bytes from 192.168.250.120: icmp_seq=109 ttl=64 time=3.27 ms
64 bytes from 192.168.250.120: icmp_seq=110 ttl=64 time=9.06 ms
64 bytes from 192.168.250.120: icmp_seq=111 ttl=64 time=434 ms
64 bytes from 192.168.250.120: icmp_seq=112 ttl=64 time=1.68 ms
64 bytes from 192.168.250.120: icmp_seq=113 ttl=64 time=3.29 ms
64 bytes from 192.168.250.120: icmp_seq=114 ttl=64 time=3.88 ms
64 bytes from 192.168.250.120: icmp_seq=115 ttl=64 time=10.2 ms
64 bytes from 192.168.250.120: icmp_seq=116 ttl=64 time=1.14 ms
64 bytes from 192.168.250.120: icmp_seq=117 ttl=64 time=3.70 ms
64 bytes from 192.168.250.120: icmp_seq=118 ttl=64 time=415 ms
64 bytes from 192.168.250.120: icmp_seq=119 ttl=64 time=5.96 ms
64 bytes from 192.168.250.120: icmp_seq=120 ttl=64 time=8.00 ms
64 bytes from 192.168.250.120: icmp_seq=121 ttl=64 time=3.70 ms
64 bytes from 192.168.250.120: icmp_seq=122 ttl=64 time=10.7 ms
64 bytes from 192.168.250.120: icmp_seq=123 ttl=64 time=12.5 ms
64 bytes from 192.168.250.120: icmp_seq=124 ttl=64 time=14.2 ms
64 bytes from 192.168.250.120: icmp_seq=125 ttl=64 time=10.5 ms
64 bytes from 192.168.250.120: icmp_seq=126 ttl=64 time=718 ms
64 bytes from 192.168.250.120: icmp_seq=127 ttl=64 time=6.04 ms
64 bytes from 192.168.250.120: icmp_seq=128 ttl=64 time=11.1 ms
64 bytes from 192.168.250.120: icmp_seq=129 ttl=64 time=16.8 ms
64 bytes from 192.168.250.120: icmp_seq=130 ttl=64 time=7.52 ms
64 bytes from 192.168.250.120: icmp_seq=131 ttl=64 time=4.52 ms
64 bytes from 192.168.250.120: icmp_seq=132 ttl=64 time=9.64 ms
64 bytes from 192.168.250.120: icmp_seq=133 ttl=64 time=9.85 ms
64 bytes from 192.168.250.120: icmp_seq=134 ttl=64 time=6.77 ms
64 bytes from 192.168.250.120: icmp_seq=135 ttl=64 time=4.22 ms
64 bytes from 192.168.250.120: icmp_seq=136 ttl=64 time=6.11 ms
64 bytes from 192.168.250.120: icmp_seq=137 ttl=64 time=4119 ms
64 bytes from 192.168.250.120: icmp_seq=138 ttl=64 time=3104 ms
64 bytes from 192.168.250.120: icmp_seq=139 ttl=64 time=2080 ms
64 bytes from 192.168.250.120: icmp_seq=140 ttl=64 time=1056 ms
64 bytes from 192.168.250.120: icmp_seq=141 ttl=64 time=32.7 ms
64 bytes from 192.168.250.120: icmp_seq=142 ttl=64 time=462 ms
64 bytes from 192.168.250.120: icmp_seq=143 ttl=64 time=2.20 ms
64 bytes from 192.168.250.120: icmp_seq=144 ttl=64 time=3.45 ms
64 bytes from 192.168.250.120: icmp_seq=145 ttl=64 time=5.21 ms
64 bytes from 192.168.250.120: icmp_seq=146 ttl=64 time=2.66 ms
64 bytes from 192.168.250.120: icmp_seq=147 ttl=64 time=630 ms
64 bytes from 192.168.250.120: icmp_seq=148 ttl=64 time=3.57 ms
64 bytes from 192.168.250.120: icmp_seq=149 ttl=64 time=1989 ms
64 bytes from 192.168.250.120: icmp_seq=150 ttl=64 time=977 ms
64 bytes from 192.168.250.120: icmp_seq=151 ttl=64 time=5.19 ms
64 bytes from 192.168.250.120: icmp_seq=152 ttl=64 time=1.67 ms
64 bytes from 192.168.250.120: icmp_seq=153 ttl=64 time=3.77 ms
64 bytes from 192.168.250.120: icmp_seq=154 ttl=64 time=4.71 ms
64 bytes from 192.168.250.120: icmp_seq=155 ttl=64 time=7.37 ms
64 bytes from 192.168.250.120: icmp_seq=156 ttl=64 time=6.23 ms
64 bytes from 192.168.250.120: icmp_seq=157 ttl=64 time=8.71 ms
64 bytes from 192.168.250.120: icmp_seq=158 ttl=64 time=420 ms
64 bytes from 192.168.250.120: icmp_seq=159 ttl=64 time=5.36 ms
64 bytes from 192.168.250.120: icmp_seq=160 ttl=64 time=4.14 ms
64 bytes from 192.168.250.120: icmp_seq=161 ttl=64 time=6.19 ms
64 bytes from 192.168.250.120: icmp_seq=162 ttl=64 time=6.56 ms
64 bytes from 192.168.250.120: icmp_seq=163 ttl=64 time=4.33 ms
64 bytes from 192.168.250.120: icmp_seq=164 ttl=64 time=1.93 ms
64 bytes from 192.168.250.120: icmp_seq=165 ttl=64 time=6.14 ms
64 bytes from 192.168.250.120: icmp_seq=166 ttl=64 time=9.90 ms
64 bytes from 192.168.250.120: icmp_seq=167 ttl=64 time=12.2 ms
64 bytes from 192.168.250.120: icmp_seq=168 ttl=64 time=9.17 ms
64 bytes from 192.168.250.120: icmp_seq=169 ttl=64 time=10.3 ms
64 bytes from 192.168.250.120: icmp_seq=170 ttl=64 time=13.0 ms
64 bytes from 192.168.250.120: icmp_seq=171 ttl=64 time=11.8 ms
64 bytes from 192.168.250.120: icmp_seq=172 ttl=64 time=7.64 ms
64 bytes from 192.168.250.120: icmp_seq=173 ttl=64 time=8.77 ms
64 bytes from 192.168.250.120: icmp_seq=174 ttl=64 time=4.76 ms
64 bytes from 192.168.250.120: icmp_seq=175 ttl=64 time=8.68 ms
64 bytes from 192.168.250.120: icmp_seq=176 ttl=64 time=7.98 ms
64 bytes from 192.168.250.120: icmp_seq=177 ttl=64 time=32.5 ms
64 bytes from 192.168.250.120: icmp_seq=178 ttl=64 time=7.35 ms
64 bytes from 192.168.250.120: icmp_seq=179 ttl=64 time=4.88 ms
64 bytes from 192.168.250.120: icmp_seq=180 ttl=64 time=7.24 ms
64 bytes from 192.168.250.120: icmp_seq=181 ttl=64 time=10.8 ms
64 bytes from 192.168.250.120: icmp_seq=182 ttl=64 time=5.07 ms
64 bytes from 192.168.250.120: icmp_seq=183 ttl=64 time=5.13 ms
64 bytes from 192.168.250.120: icmp_seq=184 ttl=64 time=10.3 ms
64 bytes from 192.168.250.120: icmp_seq=185 ttl=64 time=1509 ms
64 bytes from 192.168.250.120: icmp_seq=186 ttl=64 time=506 ms
64 bytes from 192.168.250.120: icmp_seq=187 ttl=64 time=2.30 ms
64 bytes from 192.168.250.120: icmp_seq=188 ttl=64 time=7.17 ms
64 bytes from 192.168.250.120: icmp_seq=189 ttl=64 time=4.31 ms
64 bytes from 192.168.250.120: icmp_seq=190 ttl=64 time=11.0 ms
64 bytes from 192.168.250.120: icmp_seq=191 ttl=64 time=8.99 ms
64 bytes from 192.168.250.120: icmp_seq=192 ttl=64 time=9.52 ms
64 bytes from 192.168.250.120: icmp_seq=193 ttl=64 time=5.94 ms
64 bytes from 192.168.250.120: icmp_seq=194 ttl=64 time=13.5 ms
64 bytes from 192.168.250.120: icmp_seq=195 ttl=64 time=12.9 ms
64 bytes from 192.168.250.120: icmp_seq=196 ttl=64 time=8.95 ms
64 bytes from 192.168.250.120: icmp_seq=197 ttl=64 time=9.28 ms
64 bytes from 192.168.250.120: icmp_seq=198 ttl=64 time=31.9 ms
64 bytes from 192.168.250.120: icmp_seq=199 ttl=64 time=15.0 ms
64 bytes from 192.168.250.120: icmp_seq=200 ttl=64 time=9.16 ms
64 bytes from 192.168.250.120: icmp_seq=201 ttl=64 time=11.3 ms
64 bytes from 192.168.250.120: icmp_seq=202 ttl=64 time=11.1 ms
64 bytes from 192.168.250.120: icmp_seq=203 ttl=64 time=7.23 ms
64 bytes from 192.168.250.120: icmp_seq=204 ttl=64 time=12.0 ms
64 bytes from 192.168.250.120: icmp_seq=205 ttl=64 time=11.7 ms
64 bytes from 192.168.250.120: icmp_seq=206 ttl=64 time=7.62 ms
64 bytes from 192.168.250.120: icmp_seq=207 ttl=64 time=8.28 ms
64 bytes from 192.168.250.120: icmp_seq=208 ttl=64 time=10.6 ms
64 bytes from 192.168.250.120: icmp_seq=209 ttl=64 time=1.64 ms
64 bytes from 192.168.250.120: icmp_seq=210 ttl=64 time=52.0 ms
64 bytes from 192.168.250.120: icmp_seq=211 ttl=64 time=138 ms
64 bytes from 192.168.250.120: icmp_seq=212 ttl=64 time=8.23 ms
64 bytes from 192.168.250.120: icmp_seq=213 ttl=64 time=1.56 ms
64 bytes from 192.168.250.120: icmp_seq=214 ttl=64 time=4.44 ms
64 bytes from 192.168.250.120: icmp_seq=215 ttl=64 time=5.90 ms
64 bytes from 192.168.250.120: icmp_seq=216 ttl=64 time=31.0 ms
64 bytes from 192.168.250.120: icmp_seq=217 ttl=64 time=550 ms
64 bytes from 192.168.250.120: icmp_seq=218 ttl=64 time=31.4 ms
64 bytes from 192.168.250.120: icmp_seq=219 ttl=64 time=5.65 ms
64 bytes from 192.168.250.120: icmp_seq=220 ttl=64 time=12.1 ms
64 bytes from 192.168.250.120: icmp_seq=221 ttl=64 time=10.7 ms
64 bytes from 192.168.250.120: icmp_seq=222 ttl=64 time=558 ms
64 bytes from 192.168.250.120: icmp_seq=223 ttl=64 time=4.69 ms
64 bytes from 192.168.250.120: icmp_seq=224 ttl=64 time=5.65 ms
64 bytes from 192.168.250.120: icmp_seq=225 ttl=64 time=3.41 ms
64 bytes from 192.168.250.120: icmp_seq=226 ttl=64 time=4.02 ms
64 bytes from 192.168.250.120: icmp_seq=227 ttl=64 time=7.76 ms
64 bytes from 192.168.250.120: icmp_seq=228 ttl=64 time=8.03 ms
64 bytes from 192.168.250.120: icmp_seq=229 ttl=64 time=10.8 ms
64 bytes from 192.168.250.120: icmp_seq=230 ttl=64 time=1785 ms
64 bytes from 192.168.250.120: icmp_seq=231 ttl=64 time=758 ms
64 bytes from 192.168.250.120: icmp_seq=232 ttl=64 time=10.2 ms
64 bytes from 192.168.250.120: icmp_seq=233 ttl=64 time=6.81 ms
64 bytes from 192.168.250.120: icmp_seq=234 ttl=64 time=8.96 ms
64 bytes from 192.168.250.120: icmp_seq=235 ttl=64 time=6.18 ms
